;AAPL;AMZN;GOOGL
17/03/2021;121.88545227050781;156.7864990234375;103.49034118652344
18/03/2021;117.7529296875;151.39950561523438;100.4644775390625
19/03/2021;117.2253646850586;153.7480010986328;100.74380493164062
22/03/2021;120.54703521728516;155.5435028076172;100.92919921875
23/03/2021;119.71662902832031;156.875;101.45802307128906
24/03/2021;117.32305908203125;154.35350036621094;101.0206527709961
25/03/2021;117.81153869628906;152.31300354003906;101.01715850830078
26/03/2021;118.41726684570312;152.60150146484375;100.63296508789062
29/03/2021;118.5931167602539;153.7864990234375;101.6796875
30/03/2021;117.13745880126953;152.76449584960938;101.71349334716797
31/03/2021;119.33560943603516;154.70399475097656;102.5112075805664
01/04/2021;120.166015625;158.0500030517578;105.85415649414062
05/04/2021;122.99919891357422;161.3365020751953;110.28656768798828
06/04/2021;123.30205535888672;161.1909942626953;109.80445861816406
07/04/2021;124.95314025878906;163.96949768066406;111.28408813476562
08/04/2021;127.35646057128906;164.96499633789062;111.85069274902344
09/04/2021;129.93560791015625;168.61000061035156;112.8566665649414
12/04/2021;128.2161865234375;168.96949768066406;111.56192016601562
13/04/2021;131.33267211914062;170.0;112.04949188232422
14/04/2021;128.98797607421875;166.64999389648438;111.42723083496094
15/04/2021;131.4010467529297;168.95449829101562;113.58131408691406
16/04/2021;131.06886291503906;169.9720001220703;113.45706176757812
19/04/2021;131.73321533203125;168.60049438476562;113.80546569824219
20/04/2021;130.04306030273438;166.7344970703125;113.27117919921875
21/04/2021;130.424072265625;168.1009979248047;113.23836517333984
22/04/2021;128.90000915527344;165.45199584960938;111.95457458496094
23/04/2021;131.2252197265625;167.04400634765625;114.31094360351562
26/04/2021;131.61598205566406;170.4499969482422;114.8079605102539
27/04/2021;131.29364013671875;170.8715057373047;113.86610412597656
28/04/2021;130.50225830078125;172.9250030517578;117.24881744384766
29/04/2021;130.40455627441406;173.5655059814453;118.92476654052734
30/04/2021;128.43112182617188;173.37100219726562;116.97346496582031
03/05/2021;129.48619079589844;169.32449340820312;116.45558166503906
04/05/2021;124.90428924560547;165.593505859375;114.65388488769531
05/05/2021;125.1485366821289;163.52699279785156;115.04851531982422
06/05/2021;126.750732421875;165.31849670410156;116.17079162597656
07/05/2021;127.42596435546875;164.58050537109375;116.89543914794922
10/05/2021;124.1377944946289;159.52450561523438;113.90436553955078
11/05/2021;123.21792602539062;161.19549560546875;112.82633209228516
12/05/2021;120.14505004882812;157.5970001220703;109.35665130615234
13/05/2021;122.29800415039062;158.07350158691406;110.78756713867188
14/05/2021;124.72499084472656;161.14500427246094;113.23986053466797
17/05/2021;123.57020568847656;163.51950073242188;113.76372528076172
18/05/2021;122.18057250976562;161.61399841308594;112.44910430908203
19/05/2021;122.02398681640625;161.58999633789062;112.89791107177734
20/05/2021;124.58798217773438;162.38400268554688;114.65985107421875
21/05/2021;122.7481689453125;160.1540069580078;114.02266693115234
24/05/2021;124.38245391845703;162.24949645996094;117.34822845458984
25/05/2021;124.18675231933594;162.95249938964844;117.43917846679688
26/05/2021;124.1377944946289;163.25799560546875;118.30597686767578
27/05/2021;122.60138702392578;161.5054931640625;117.42974090576172
28/05/2021;121.94570922851562;161.15350341796875;117.13996887207031
01/06/2021;121.62276458740234;160.9324951171875;118.34921264648438
02/06/2021;122.38607788085938;161.69949340820312;117.8228759765625
